Date,Average_tone
2018-01-01,-1.3387
2018-01-02,-1.1674
2018-01-03,-1.1686
2018-01-04,-1.2542
2018-01-05,-1.3367
2018-01-06,-1.1259
2018-01-07,-0.8556
2018-01-08,-0.5482
2018-01-09,-0.9509
2018-01-10,-0.8889
2018-01-11,-1.1024
2018-01-12,-1.035
2018-01-13,-1.3769
2018-01-14,-1.4325
2018-01-15,-1.2487
2018-01-16,-1.1514
2018-01-17,-1.1847
2018-01-18,-1.0434
2018-01-19,-1.27
2018-01-20,-1.3827
2018-01-21,-1.1217
2018-01-22,-0.9566
2018-01-23,-1.0904
2018-01-24,-1.0434
2018-01-25,-0.9669
2018-01-26,-1.1926
2018-01-27,-1.3784
2018-01-28,-1.0646
2018-01-29,-0.501
2018-01-30,-0.9969
2018-01-31,-1.0188
2018-02-01,-0.9499
2018-02-02,-1.175
2018-02-03,-1.4185
2018-02-04,-1.0576
2018-02-05,-0.7732
2018-02-06,-1.1664
2018-02-07,-1.0247
2018-02-08,-0.9612
2018-02-09,-0.9676
2018-02-10,-1.1868
2018-02-11,-1.0769
2018-02-12,-1.0222
2018-02-13,-0.9219
2018-02-14,-0.8872
2018-02-15,-1.2964
2018-02-16,-1.4092
2018-02-17,-1.4874
2018-02-18,-1.2185
2018-02-19,-1.1546
2018-02-20,-1.1228
2018-02-21,-1.1162
2018-02-22,-1.1339
2018-02-23,-1.4093
2018-02-24,-1.3897
2018-02-25,-1.0996
2018-02-26,-1.1426
2018-02-27,-1.1178
2018-02-28,-1.0968
2018-03-01,-1.088
2018-03-02,-1.4027
2018-03-03,-1.509
2018-03-04,-1.0406
2018-03-05,-0.5997
2018-03-06,-1.0035
2018-03-07,-1.1049
2018-03-08,-1.1137
2018-03-09,-1.1455
2018-03-10,-1.2102
2018-03-11,-1.1291
2018-03-12,-1.063
2018-03-13,-1.3337
2018-03-14,-1.1566
2018-03-15,-1.2769
2018-03-16,-1.2771
2018-03-17,-1.3495
2018-03-18,-1.2071
2018-03-19,-1.27
2018-03-20,-1.3231
2018-03-21,-1.2546
2018-03-22,-1.1725
2018-03-23,-1.2051
2018-03-24,-1.3384
2018-03-25,-1.2647
2018-03-26,-1.1942
2018-03-27,-1.1876
2018-03-28,-1.0572
2018-03-29,-1.1898
2018-03-30,-1.3897
2018-03-31,-1.2126
2018-04-01,-1.187
2018-04-02,-1.1529
2018-04-03,-1.1463
2018-04-04,-1.1852
2018-04-05,-1.1363
2018-04-06,-1.3003
2018-04-07,-1.427
2018-04-08,-1.4317
2018-04-09,-1.3406
2018-04-10,-1.1911
2018-04-11,-1.2075
2018-04-12,-1.1717
2018-04-13,-1.2363
2018-04-14,-1.5451
2018-04-15,-1.2218
2018-04-16,-1.0014
2018-04-17,-1.1329
2018-04-18,-0.9338
2018-04-19,-0.9679
2018-04-20,-1.1583
2018-04-21,-1.214
2018-04-22,-1.0362
2018-04-23,-0.9771
2018-04-24,-1.1178
2018-04-25,-1.0568
2018-04-26,-1.0954
2018-04-27,-1.0387
2018-04-28,-1.3284
2018-04-29,-0.9791
2018-04-30,-0.9891
2018-05-01,-1.073
2018-05-02,-1.0106
2018-05-03,-1.1274
2018-05-04,-1.1378
2018-05-05,-1.3286
2018-05-06,-1.0391
2018-05-07,-0.9706
2018-05-08,-1.0574
2018-05-09,-0.9245
2018-05-10,-0.999
2018-05-11,-1.0078
2018-05-12,-1.1426
2018-05-13,-1.3119
2018-05-14,-0.9937
2018-05-15,-1.157
2018-05-16,-1.0478
2018-05-17,-1.0211
2018-05-18,-1.1754
2018-05-19,-0.7781
2018-05-20,-0.9959
2018-05-21,-0.8093
2018-05-22,-0.9975
2018-05-23,-0.8973
2018-05-24,-1.1344
2018-05-25,-1.3462
2018-05-26,-1.2568
2018-05-27,-1.1631
2018-05-28,-1.1575
2018-05-29,-1.1828
2018-05-30,-1.2519
2018-05-31,-1.0538
2018-06-01,-0.9795
2018-06-02,-1.3149
2018-06-03,-1.2855
2018-06-04,-1.0313
2018-06-05,-0.8288
2018-06-06,-0.8517
2018-06-07,-0.8582
2018-06-08,-1.0275
2018-06-09,-0.9852
2018-06-10,-0.788
2018-06-11,-0.735
2018-06-12,-0.8092
2018-06-13,-0.845
2018-06-14,-0.8206
2018-06-15,-1.0442
2018-06-16,-1.2253
2018-06-17,-1.1795
2018-06-18,-1.2351
2018-06-19,-1.1806
2018-06-20,-1.1282
2018-06-21,-1.0378
2018-06-22,-1.1244
2018-06-23,-1.2681
2018-06-24,-1.0961
2018-06-25,-1.09
2018-06-26,-1.0744
2018-06-27,-1.0036
2018-06-28,-0.9178
2018-06-29,-1.1732
2018-06-30,-1.1167
2018-07-01,-1.2881
2018-07-02,-0.97
2018-07-03,-1.0497
2018-07-04,-1.0414
2018-07-05,-0.9931
2018-07-06,-1.3173
2018-07-07,-1.2802
2018-07-08,-1.1974
2018-07-09,-1.0252
2018-07-10,-0.8432
2018-07-11,-1.0192
2018-07-12,-0.9405
2018-07-13,-1.1513
2018-07-14,-1.3235
2018-07-15,-1.566
2018-07-16,-1.39
2018-07-17,-1.3327
2018-07-18,-1.4886
2018-07-19,-1.5567
2018-07-20,-1.6271
2018-07-21,-2.0798
2018-07-22,-1.7845
2018-07-23,-1.8977
2018-07-24,-1.6553
2018-07-25,-1.4998
2018-07-26,-1.3836
2018-07-27,-1.3089
2018-07-28,-1.3514
2018-07-29,-1.4238
2018-07-30,-1.0366
2018-07-31,-0.9711
2018-08-01,-0.9827
2018-08-02,-0.9734
2018-08-03,-1.1336
2018-08-04,-1.1787
2018-08-05,-1.2747
2018-08-06,-1.3548
2018-08-07,-1.1348
2018-08-08,-1.0863
2018-08-09,-1.2384
2018-08-10,-1.2797
2018-08-11,-1.5643
2018-08-12,-1.2053
2018-08-13,-1.1523
2018-08-14,-1.3652
2018-08-15,-1.2693
2018-08-16,-1.0109
2018-08-17,-1.1204
2018-08-18,-1.2902
2018-08-19,-1.3235
2018-08-20,-1.2462
2018-08-21,-1.1751
2018-08-22,-1.4226
2018-08-23,-1.4184
2018-08-24,-1.1506
2018-08-25,-1.573
2018-08-26,-1.3191
2018-08-27,-1.0299
2018-08-28,-1.1568
2018-08-29,-1.1508
2018-08-30,-1.1374
2018-08-31,-1.1375
2018-09-01,-1.248
2018-09-02,-1.4833
2018-09-03,-1.4296
2018-09-04,-1.1862
2018-09-05,-1.3736
2018-09-06,-1.1904
2018-09-07,-1.1602
2018-09-08,-1.4154
2018-09-09,-1.4037
2018-09-10,-1.1722
2018-09-11,-1.4356
2018-09-12,-1.377
2018-09-13,-1.4187
2018-09-14,-1.5369
2018-09-15,-2.0512
2018-09-16,-2.023
2018-09-17,-1.3556
2018-09-18,-0.8957
2018-09-19,-1.1843
2018-09-20,-1.1585
2018-09-21,-1.271
2018-09-22,-1.3487
2018-09-23,-1.1301
2018-09-24,-1.2371
2018-09-25,-1.2675
2018-09-26,-1.2286
2018-09-27,-1.1615
2018-09-28,-1.2189
2018-09-29,-1.5909
2018-09-30,-1.4558
2018-10-01,-1.0178
2018-10-02,-1.0029
2018-10-03,-1.1182
2018-10-04,-1.234
2018-10-05,-1.1558
2018-10-06,-1.2855
2018-10-07,-1.4989
2018-10-08,-1.1322
2018-10-09,-1.1074
2018-10-10,-1.1439
2018-10-11,-1.409
2018-10-12,-1.2466
2018-10-13,-1.3128
2018-10-14,-1.4526
2018-10-15,-0.9153
2018-10-16,-1.0612
2018-10-17,-1.0208
2018-10-18,-1.1292
2018-10-19,-1.0037
2018-10-20,-1.3408
2018-10-21,-1.0952
2018-10-22,-0.9743
2018-10-23,-1.0586
2018-10-24,-1.0169
2018-10-25,-1.0442
2018-10-26,-1.2186
2018-10-27,-1.5528
2018-10-28,-1.4034
2018-10-29,-1.1115
2018-10-30,-1.0971
2018-10-31,-0.9787
2018-11-01,-0.9953
2018-11-02,-1.0935
2018-11-03,-1.2609
2018-11-04,-1.0602
2018-11-05,-0.9064
2018-11-06,-0.9129
2018-11-07,-0.5836
2018-11-08,-0.8988
2018-11-09,-1.0395
2018-11-10,-1.3271
2018-11-11,-1.2376
2018-11-12,-0.8046
2018-11-13,-0.8222
2018-11-14,-0.9064
2018-11-15,-0.8804
2018-11-16,-1.0267
2018-11-17,-1.2066
2018-11-18,-1.1702
2018-11-19,-0.9702
2018-11-20,-1.2091
2018-11-21,-1.0818
2018-11-22,-0.9718
2018-11-23,-0.9073
2018-11-24,-1.0167
2018-11-25,-1.344
2018-11-26,-1.1204
2018-11-27,-1.1153
2018-11-28,-0.9634
2018-11-29,-1.0207
2018-11-30,-1.073
2018-12-01,-0.9843
2018-12-02,-0.8268
2018-12-03,-0.5972
2018-12-04,-0.87
2018-12-05,-0.8888
2018-12-06,-0.8513
2018-12-07,-0.8412
2018-12-08,-1.0402
2018-12-09,-1.1527
2018-12-10,-1.0658
2018-12-11,-1.0445
2018-12-12,-0.9651
2018-12-13,-0.8789
2018-12-14,-1.0485
2018-12-15,-1.0619
2018-12-16,-0.9772
2018-12-17,-0.7998
2018-12-18,-0.9226
2018-12-19,-0.8798
2018-12-20,-1.0187
2018-12-21,-0.981
2018-12-22,-0.9942
2018-12-23,-0.9125
2018-12-24,-0.895
2018-12-25,-0.9476
2018-12-26,-0.8724
2018-12-27,-0.8823
2018-12-28,-1.1796
2018-12-29,-1.3251
2018-12-30,-1.2644
2018-12-31,-1.1148
2019-01-01,-1.0504
2019-01-02,-0.7556
2019-01-03,-0.8653
2019-01-04,-1.0822
2019-01-05,-1.2125
2019-01-06,-1.1065
2019-01-07,-0.6008
2019-01-08,-1.1357
2019-01-09,-0.9923
2019-01-10,-1.0495
2019-01-11,-1.0189
2019-01-12,-1.247
2019-01-13,-1.122
2019-01-14,-0.8651
2019-01-15,-0.94
2019-01-16,-0.9696
2019-01-17,-1.0245
2019-01-18,-1.0161
2019-01-19,-1.2233
2019-01-20,-1.0813
2019-01-21,-0.8397
2019-01-22,-0.7112
2019-01-23,-0.8556
2019-01-24,-0.959
2019-01-25,-1.1331
2019-01-26,-1.2482
2019-01-27,-1.2362
2019-01-28,-0.6336
2019-01-29,-1.1885
2019-01-30,-0.9908
2019-01-31,-0.9693
2019-02-01,-0.8473
2019-02-02,-1.1671
2019-02-03,-0.9748
2019-02-04,-0.7813
2019-02-05,-0.9131
2019-02-06,-0.7919
2019-02-07,-0.7758
2019-02-08,-0.8665
2019-02-09,-1.2226
2019-02-10,-0.7338
2019-02-11,-0.3724
2019-02-12,-0.8835
2019-02-13,-0.8409
2019-02-14,-0.9131
2019-02-15,-1.0349
2019-02-16,-1.4367
2019-02-17,-1.1577
2019-02-18,-0.9342
2019-02-19,-0.851
2019-02-20,-0.9179
2019-02-21,-1.1854
2019-02-22,-1.2371
2019-02-23,-1.2769
2019-02-24,-0.9908
2019-02-25,-0.3415
2019-02-26,-1.0712
2019-02-27,-0.9861
2019-02-28,-0.8937
2019-03-01,-0.8791
2019-03-02,-1.1524
2019-03-03,-0.9154
2019-03-04,-0.8841
2019-03-05,-0.8268
2019-03-06,-0.9794
2019-03-07,-1.0059
2019-03-08,-1.0705
2019-03-09,-1.2653
2019-03-10,-1.0125
2019-03-11,-0.7952
2019-03-12,-1.051
2019-03-13,-1.2473
2019-03-14,-1.1958
2019-03-15,-1.1395
2019-03-16,-1.536
2019-03-17,-1.4308
2019-03-18,-1.1319
2019-03-19,-1.1377
2019-03-20,-0.9779
2019-03-21,-1.1088
2019-03-22,-1.1441
2019-03-23,-1.3853
2019-03-24,-0.9659
2019-03-25,-0.9902
2019-03-26,-1.2621
2019-03-27,-1.2053
2019-03-28,-1.0302
2019-03-29,-1.0173
2019-03-30,-1.2157
2019-03-31,-1.0111
2019-04-01,-0.9776
2019-04-02,-1.1
2019-04-03,-1.0942
2019-04-04,-1.0296
2019-04-05,-1.1465
2019-04-06,-1.1837
2019-04-07,-1.0248
2019-04-08,-0.9013
2019-04-09,-1.1099
2019-04-10,-0.9727
2019-04-11,-1.1366
2019-04-12,-1.0843
2019-04-13,-1.2279
2019-04-14,-1.0546
2019-04-15,-0.9453
2019-04-16,-0.827
2019-04-17,-0.9834
2019-04-18,-0.835
2019-04-19,-1.1248
2019-04-20,-1.307
2019-04-21,-1.2242
2019-04-22,-0.9668
2019-04-23,-0.9996
2019-04-24,-1.0105
2019-04-25,-1.0342
2019-04-26,-0.9114
2019-04-27,-1.1872
2019-04-28,-1.3849
2019-04-29,-1.1224
2019-04-30,-0.9495
2019-05-01,-1.084
2019-05-02,-0.8028
2019-05-03,-1.0009
2019-05-04,-1.0695
2019-05-05,-0.8996
2019-05-06,-0.7825
2019-05-07,-0.7833
2019-05-08,-0.9413
2019-05-09,-0.8968
2019-05-10,-0.9286
2019-05-11,-1.1011
2019-05-12,-1.0003
2019-05-13,-1.0282
2019-05-14,-0.9944
2019-05-15,-1.1056
2019-05-16,-0.9092
2019-05-17,-0.6541
2019-05-18,-0.472
2019-05-19,-0.216
2019-05-20,-0.6091
2019-05-21,-0.7477
2019-05-22,-0.6894
2019-05-23,-0.8297
2019-05-24,-0.6813
2019-05-25,-0.3781
2019-05-26,-0.2259
2019-05-27,-0.1654
2019-05-28,-0.7569
2019-05-29,-0.7508
2019-05-30,-0.6622
2019-05-31,-0.8197
2019-06-01,-0.7311
2019-06-02,-0.1744
2019-06-03,-0.568
2019-06-04,-0.6845
2019-06-05,-0.718
2019-06-06,-0.5788
2019-06-07,-0.6586
2019-06-08,-0.211
2019-06-09,-0.05
2019-06-10,-0.4829
2019-06-11,-0.7881
2019-06-12,-0.7135
2019-06-13,-0.7048
2019-06-14,-0.5251
2019-06-15,-0.4724
2019-06-16,-0.1272
2019-06-17,-0.6979
2019-06-18,-0.6888
2019-06-19,-0.5857
2019-06-20,-0.6466
2019-06-21,-1.0996
2019-06-22,-0.8298
2019-06-23,-0.4519
2019-06-24,-0.6529
2019-06-25,-0.7647
2019-06-26,-0.9339
2019-06-27,-0.6401
2019-06-28,-0.684
2019-06-29,-0.2503
2019-06-30,0.0147
2019-07-01,-0.379
2019-07-02,-0.5232
2019-07-03,-0.7422
2019-07-04,-0.5048
2019-07-05,-0.564
2019-07-06,-0.5054
2019-07-07,-0.4181
2019-07-08,-0.5894
2019-07-09,-0.5405
2019-07-10,-0.4455
2019-07-11,-0.6303
2019-07-12,-0.872
2019-07-13,-0.5803
2019-07-14,-0.5326
2019-07-15,-0.592
2019-07-16,-0.5955
2019-07-17,-0.6571
2019-07-18,-0.7696
2019-07-19,-0.5918
2019-07-20,-0.6483
2019-07-21,-0.4261
2019-07-22,-0.439
2019-07-23,-0.6074
2019-07-24,-0.4821
2019-07-25,-0.6274
2019-07-26,-0.5835
2019-07-27,-1.1347
2019-07-28,-0.3335
2019-07-29,-0.5692
2019-07-30,-0.6356
2019-07-31,-0.7102
2019-08-01,-0.7734
2019-08-02,-0.7889
2019-08-03,-0.7651
2019-08-04,-1.0472
2019-08-05,-1.3297
2019-08-06,-0.9223
2019-08-07,-0.946
2019-08-08,-0.7628
2019-08-09,-0.6689
2019-08-10,-1.0264
2019-08-11,-0.76
2019-08-12,-0.7216
2019-08-13,-1.0076
2019-08-14,-1.0573
2019-08-15,-1.0965
2019-08-16,-0.7123
2019-08-17,-0.9194
2019-08-18,-0.4807
2019-08-19,-0.4945
2019-08-20,-0.5204
2019-08-21,-0.5134
2019-08-22,-0.493
2019-08-23,-0.7424
2019-08-24,-0.4489
